Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05;Nordrhein-Westfalen;NAT;Nationalität;;Insgesamt;17947221
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05;Nordrhein-Westfalen;NAT;Nationalität;NATD;Deutsche;15502665
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05;Nordrhein-Westfalen;NAT;Nationalität;NATA;Ausländer;2444556
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;051;  Düsseldorf, Regierungsbezirk;NAT;Nationalität;;Insgesamt;5207457
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;051;  Düsseldorf, Regierungsbezirk;NAT;Nationalität;NATD;Deutsche;4379023
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;051;  Düsseldorf, Regierungsbezirk;NAT;Nationalität;NATA;Ausländer;828434
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05111;    Düsseldorf, krfr. Stadt;NAT;Nationalität;;Insgesamt;621877
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05111;    Düsseldorf, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;493024
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05111;    Düsseldorf, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;128853
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05112;    Duisburg, krfr. Stadt;NAT;Nationalität;;Insgesamt;498686
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05112;    Duisburg, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;392014
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05112;    Duisburg, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;106672
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05113;    Essen, krfr. Stadt;NAT;Nationalität;;Insgesamt;582760
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05113;    Essen, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;487581
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05113;    Essen, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;95179
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05114;    Krefeld, krfr. Stadt;NAT;Nationalität;;Insgesamt;227417
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05114;    Krefeld, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;188896
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05114;    Krefeld, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;38521
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05116;    Mönchengladbach, krfr. Stadt;NAT;Nationalität;;Insgesamt;261034
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05116;    Mönchengladbach, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;217739
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05116;    Mönchengladbach, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;43295
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05117;    Mülheim an der Ruhr, krfr. Stadt;NAT;Nationalität;;Insgesamt;170632
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05117;    Mülheim an der Ruhr, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;143758
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05117;    Mülheim an der Ruhr, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;26874
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05119;    Oberhausen, krfr. Stadt;NAT;Nationalität;;Insgesamt;210764
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05119;    Oberhausen, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;178195
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05119;    Oberhausen, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;32569
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05120;    Remscheid, krfr. Stadt;NAT;Nationalität;;Insgesamt;111338
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05120;    Remscheid, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;90663
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05120;    Remscheid, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;20675
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05122;    Solingen, krfr. Stadt;NAT;Nationalität;;Insgesamt;159245
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05122;    Solingen, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;132417
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05122;    Solingen, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;26828
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05124;    Wuppertal, krfr. Stadt;NAT;Nationalität;;Insgesamt;355100
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05124;    Wuppertal, krfr. Stadt;NAT;Nationalität;NATD;Deutsche;283227
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05124;    Wuppertal, krfr. Stadt;NAT;Nationalität;NATA;Ausländer;71873
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154;    Kleve, Kreis;NAT;Nationalität;;Insgesamt;312465
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154;    Kleve, Kreis;NAT;Nationalität;NATD;Deutsche;264639
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154;    Kleve, Kreis;NAT;Nationalität;NATA;Ausländer;47826
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154004;      Bedburg-Hau;NAT;Nationalität;;Insgesamt;12955
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154004;      Bedburg-Hau;NAT;Nationalität;NATD;Deutsche;11576
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154004;      Bedburg-Hau;NAT;Nationalität;NATA;Ausländer;1379
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154008;      Emmerich am Rhein, Stadt;NAT;Nationalität;;Insgesamt;30961
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154008;      Emmerich am Rhein, Stadt;NAT;Nationalität;NATD;Deutsche;22398
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154008;      Emmerich am Rhein, Stadt;NAT;Nationalität;NATA;Ausländer;8563
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154012;      Geldern, Stadt;NAT;Nationalität;;Insgesamt;33730
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154012;      Geldern, Stadt;NAT;Nationalität;NATD;Deutsche;29758
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154012;      Geldern, Stadt;NAT;Nationalität;NATA;Ausländer;3972
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154016;      Goch, Stadt;NAT;Nationalität;;Insgesamt;34205
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154016;      Goch, Stadt;NAT;Nationalität;NATD;Deutsche;29200
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154016;      Goch, Stadt;NAT;Nationalität;NATA;Ausländer;5005
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154020;      Issum;NAT;Nationalität;;Insgesamt;11977
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154020;      Issum;NAT;Nationalität;NATD;Deutsche;11275
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154020;      Issum;NAT;Nationalität;NATA;Ausländer;702
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154024;      Kalkar, Stadt;NAT;Nationalität;;Insgesamt;13884
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154024;      Kalkar, Stadt;NAT;Nationalität;NATD;Deutsche;12537
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154024;      Kalkar, Stadt;NAT;Nationalität;NATA;Ausländer;1347
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154028;      Kerken;NAT;Nationalität;;Insgesamt;12548
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154028;      Kerken;NAT;Nationalität;NATD;Deutsche;11882
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154028;      Kerken;NAT;Nationalität;NATA;Ausländer;666
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154032;      Kevelaer, Stadt;NAT;Nationalität;;Insgesamt;28087
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154032;      Kevelaer, Stadt;NAT;Nationalität;NATD;Deutsche;24611
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154032;      Kevelaer, Stadt;NAT;Nationalität;NATA;Ausländer;3476
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;;Insgesamt;52388
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;NATD;Deutsche;41032
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;NATA;Ausländer;11356
