Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GEWA__Ausfuhr:_Gewicht__t;WERTA__Ausfuhr:_Wert__Tsd._EUR;WERTAS__Ausfuhr:_Wert_(US-Dollar)__Tsd._US_$;GEWE__Einfuhr:_Gewicht__t;WERTE__Einfuhr:_Wert__Tsd._EUR;WERTES__Einfuhr:_Wert_(US-Dollar)__Tsd._US_$
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;22909214,1;42043616;-;42466133,6;38923524;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;23640979,3;46442548;-;41121108,4;39321449;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;M‰rz;26305645,9;52164877;-;44325858,6;46034143;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;23981603,0;45261531;-;41299211,0;39965360;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;23220447,6;52191996;-;47476123,1;47689413;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;25021085,9;49606438;-;39448420,7;42999276;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;24472752,3;49796582;-;43984110,0;43853881;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;22508472,5;47221698;-;39353129,1;44301948;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;22780519,5;48989341;-;47605820,3;44735335;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;25800321,0;56818479;-;41985806,1;50024578;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;26698320,6;56856582;-;46622566,4;52091830;-
51000;Auﬂenhandel;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;21905955,0;50046052;-;45301770,7;48370675;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;24587895,0;51877852;-;42017374,7;46215372;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;22869039,0;52085055;-;41488697,2;44914138;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;M‰rz;24489121,6;56125304;-;42265386,1;46418454;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;25570781,7;52860749;-;45020175,4;46695029;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;24465782,4;54662637;-;40097098,0;46451129;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;24835877,3;53687368;-;41045296,5;45960108;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;25228969,3;55365514;-;42852243,0;45924907;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;24944519,2;51630305;-;38016781,0;42592664;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;21140534,8;49637944;-;42332638,4;42568938;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;26011219,9;57246213;-;45597098,4;47585275;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;26543608,7;54871683;-;44786836,0;47520357;-
51000;Auﬂenhandel;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;20999660,0;48217736;-;41116727,4;39927293;-
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;24308802,7;50334641;44459004;43897804,5;39809109;35162381
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;25202542,7;51822128;45083489;38650471,4;41264213;35898731
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;M‰rz;24855024,5;54559719;47781599;40352394,1;42315148;37058487
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;26738507,1;56028758;49628228;46113380,3;46013489;40757696
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;23863079,6;50475548;46284729;39440366,2;40068051;36741586
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;27325099,6;56663912;54135007;45505974,7;45365284;43341213
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;24125270,2;55853900;55417215;40203460,8;42630267;42297403
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT08;August;24223366,5;51749663;50599763;39398463,2;41272345;40355360
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT09;September;24188983,6;55189506;54128909;43224532,0;43347174;42514463
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT10;Oktober;27099890,6;58902236;57787918;44725701,9;47372796;46477283
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT11;November;27193328,7;58892569;58974508;45011324,8;46609973;46674951
51000;Auﬂenhandel;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT12;Dezember;24590414,1;50847094;51776220;46314968,0;42463939;43240501
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;24713849,1;53557932;56887031;42303545,0;44288702;47042431
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;25195433,3;53977434;58147517;46264983,6;43310286;46656529
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;M‰rz;26362775,7;55977248;60492402;44759863,6;46078788;49796068
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;27598142,3;53880253;58446855;43457558,6;44769487;48564223
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;28024233,3;54485772;63102253;46636891,7;44086207;51058306
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;25084695,4;54276400;63299000;44013092,5;43946024;51251492
51000;Auﬂenhandel;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT07;Juli;28385035,2;57977217;65928818;44852367,8;44132817;50185895
