Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ID0003__Ausfuhr:_Gewicht__t;CH0003__Ausfuhr:_Gewicht__Ver‰nderung_zum_Vorjahr_(%);ID0004__Ausfuhr__Tsd._EUR;CH0004__Ausfuhr__Ver‰nderung_zum_Vorjahr_(%);ID0005__Einfuhr:_Gewicht__t;CH0005__Einfuhr:_Gewicht__Ver‰nderung_zum_Vorjahr_(%);ID0006__Einfuhr__Tsd._EUR;CH0006__Einfuhr__Ver‰nderung_zum_Vorjahr_(%)
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT01;Januar;8397149;2,1;15659630;-3,8;17469924;0,5;20564881;-2,6
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT02;Februar;8169177;-4,2;15768275;-2,5;18830582;-7,8;19384092;-6,2
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT03;M‰rz;8296699;-3,7;15592359;-8,2;19543279;-1,8;19790922;-7,5
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT04;April;7167804;-16,2;12168338;-25,3;14885134;-13,4;16059921;-21,0
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT05;Mai;6739528;-22,5;12238831;-27,4;14687103;-17,3;16279114;-21,2
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT06;Juni;7381420;-13,3;13875299;-11,8;15066131;-11,3;17245458;-13,7
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT07;Juli;7610146;-10,6;14552351;-14,2;15440300;-15,3;17592429;-15,7
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT08;August;7916992;4,1;13738329;-6,9;14882497;-22,7;17531863;-8,4
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT09;September;7901740;-5,8;16177268;-1,6;18624620;-0,4;19290923;-6,6
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT10;Oktober;8639335;1,0;16078939;-5,1;17391907;0,8;19777389;-8,2
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT11;November;...;...;...;...;...;...;...;...
51000;Auﬂenhandel;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT12;Dezember;...;...;...;...;...;...;...;...
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT01;Januar;8227865;-4,5;16271214;-0,4;17376646;-3,7;21115305;3,9
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT02;Februar;8526099;3,8;16172988;0,2;20423037;9,7;20665992;4,7
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT03;M‰rz;8615818;2,1;16989182;-0,2;19909191;-1,6;21390879;1,9
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT04;April;8551566;-6,1;16299850;-1,0;17192999;6,5;20320305;3,2
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT05;Mai;8693909;-1,6;16862270;4,8;17749390;15,4;20660408;6,9
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT06;Juni;8510193;-8,0;15733344;-8,9;16978162;10,8;19981717;-1,9
51000;Auﬂenhandel;JAHR;Jahr;2019;DLAND;Land;05;Nordrhein-Westfalen;MONAT;Monate;MONAT07;Juli;8514197;1,5;16962419;1,1;18223969;10,1;20873144;1,3
