Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;VSTNW1__Durchschnittliche_Bruttostundenverdienste__EUR;VSTNW2__Durchschnittliche_Bruttomonatsverdienste__EUR;STDNW1__Bezahlte_Wochenarbeitszeit__Std.;VSTNW2__Durchschnittliche_Bruttomonatsverdienste__EUR
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-08;Produzierendes Gewerbe und Dienstleistungsbereich;GES;Geschlecht;GESM;männlich;25,07;4237;38,9;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-08;Produzierendes Gewerbe und Dienstleistungsbereich;GES;Geschlecht;GESW;weiblich;21,84;3658;38,6;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-08;Produzierendes Gewerbe und Dienstleistungsbereich;GES;Geschlecht;;Insgesamt;24,13;4067;38,8;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-05;Produzierendes Gewerbe;GES;Geschlecht;GESM;männlich;25,20;4191;38,3;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-05;Produzierendes Gewerbe;GES;Geschlecht;GESW;weiblich;22,20;3626;37,6;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B-05;Produzierendes Gewerbe;GES;Geschlecht;;Insgesamt;24,78;4111;38,2;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;GES;Geschlecht;GESM;männlich;25,71;4484;40,1;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;GES;Geschlecht;GESW;weiblich;23,16;3959;39,3;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;GES;Geschlecht;;Insgesamt;25,63;4467;40,1;
62321;Vierteljährliche Verdiensterhebung;JAHR;Jahr;2020;DLAND;Land;05;Nordrhein-Westfalen;BESNW1;Beschäftigungsumfang;VOLLZTNW01;Vollzeitbeschäftigte;QUARTG;Quartale;QUART1;1.Quartal;WZ08V5;WZ 2008: Verdiensterhebung;WZ08-C;Verarbeitendes Gewerbe;GES;Geschlecht;GESM;männlich;26,18;4333;38,1;
